target,model_key,model_name,resampling,metrics,model_path
status_gizi_bbu,XGB_SMOTETomek,XGB,SMOTETomek,"{'accuracy': 0.8863636363636364, 'precision_weighted': 0.8895330859616574, 'recall_weighted': 0.8863636363636364, 'f1_weighted': 0.8871544840294839, 'f1_macro': 0.6403528528528528}",models_step11_all_ver5\status_gizi_bbu__xgb__smotetomek.joblib
status_gizi_bbu,RF_SMOTETomek,RF,SMOTETomek,"{'accuracy': 0.8352272727272727, 'precision_weighted': 0.8818372625508819, 'recall_weighted': 0.8352272727272727, 'f1_weighted': 0.8525956434613678, 'f1_macro': 0.5731325368781199}",models_step11_all_ver5\status_gizi_bbu__rf__smotetomek.joblib
status_gizi_bbu,LGB_SMOTEENN,LGB,SMOTEENN,"{'accuracy': 0.8068181818181818, 'precision_weighted': 0.8669308784408976, 'recall_weighted': 0.8068181818181818, 'f1_weighted': 0.8287662337662337, 'f1_macro': 0.5676190476190476}",models_step11_all_ver5\status_gizi_bbu__lgb__smoteenn.joblib
status_gizi_bbu,XGB_SMOTEENN,XGB,SMOTEENN,"{'accuracy': 0.7840909090909091, 'precision_weighted': 0.8635950258891435, 'recall_weighted': 0.7840909090909091, 'f1_weighted': 0.8104224242910374, 'f1_macro': 0.5634902810085293}",models_step11_all_ver5\status_gizi_bbu__xgb__smoteenn.joblib
status_gizi_bbu,RF_SMOTEENN,RF,SMOTEENN,"{'accuracy': 0.7954545454545454, 'precision_weighted': 0.8727673777993661, 'recall_weighted': 0.7954545454545454, 'f1_weighted': 0.8233779546177323, 'f1_macro': 0.5347723865340057}",models_step11_all_ver5\status_gizi_bbu__rf__smoteenn.joblib
status_gizi_bbu,LGB_RandomOverSampler,LGB,RandomOverSampler,"{'accuracy': 0.8920454545454546, 'precision_weighted': 0.9001242603054332, 'recall_weighted': 0.8920454545454546, 'f1_weighted': 0.8953980171614101, 'f1_macro': 0.7232355442176871}",models_step11_all_ver5\status_gizi_bbu__lgb__randomoversampler.joblib
status_gizi_bbu,XGB_RandomOverSampler,XGB,RandomOverSampler,"{'accuracy': 0.8863636363636364, 'precision_weighted': 0.8880276297665651, 'recall_weighted': 0.8863636363636364, 'f1_weighted': 0.8832896028390216, 'f1_macro': 0.6729097452934663}",models_step11_all_ver5\status_gizi_bbu__xgb__randomoversampler.joblib
status_gizi_bbu,RF_RandomOverSampler,RF,RandomOverSampler,"{'accuracy': 0.8806818181818182, 'precision_weighted': 0.9021915584415585, 'recall_weighted': 0.8806818181818182, 'f1_weighted': 0.8877423952608247, 'f1_macro': 0.6497130821638119}",models_step11_all_ver5\status_gizi_bbu__rf__randomoversampler.joblib
status_gizi_bbu,LGB_Original,LGB,Original,"{'accuracy': 0.9204545454545454, 'precision_weighted': 0.9224969287469288, 'recall_weighted': 0.9204545454545454, 'f1_weighted': 0.9213768466160809, 'f1_macro': 0.763618642566011}",models_step11_all_ver5\status_gizi_bbu__lgb__original.joblib
status_gizi_bbu,XGB_Original,XGB,Original,"{'accuracy': 0.8977272727272727, 'precision_weighted': 0.8912337662337663, 'recall_weighted': 0.8977272727272727, 'f1_weighted': 0.8922742274227423, 'f1_macro': 0.7093069306930693}",models_step11_all_ver5\status_gizi_bbu__xgb__original.joblib
status_gizi_bbu,RF_Original,RF,Original,"{'accuracy': 0.8920454545454546, 'precision_weighted': 0.9072188930417249, 'recall_weighted': 0.8920454545454546, 'f1_weighted': 0.8970182488092792, 'f1_macro': 0.662935295955308}",models_step11_all_ver5\status_gizi_bbu__rf__original.joblib
